iter	Passed	Remaining
406	6089	1391
407	6105	1376
408	6120	1361
409	6136	1346
410	6151	1332
411	6166	1317
412	6183	1302
413	6199	1287
414	6216	1273
415	6231	1258
416	6247	1243
417	6261	1228
418	6276	1213
419	6291	1198
420	6306	1183
421	6322	1168
422	6337	1153
423	6352	1138
424	6367	1123
425	6382	1108
426	6397	1093
427	6412	1078
428	6428	1063
429	6443	1048
430	6456	1033
431	6472	1018
432	6487	1003
433	6503	988
434	6519	974
435	6534	959
436	6550	944
437	6565	929
438	6581	914
439	6598	899
440	6613	884
441	6629	869
442	6645	855
443	6662	840
444	6677	825
445	6708	812
446	6724	797
447	6738	782
448	6753	767
449	6769	752
450	6783	737
451	6798	721
452	6814	707
453	6829	692
454	6845	677
455	6861	662
456	6877	647
457	6893	632
458	6909	617
459	6925	602
460	6942	587
461	6957	572
462	6971	557
463	6985	542
464	6999	526
465	7013	511
466	7028	496
467	7043	481
468	7058	466
469	7072	451
470	7086	436
471	7101	421
472	7115	406
473	7129	391
474	7143	375
475	7160	361
476	7175	345
477	7189	330
478	7204	315
479	7219	300
480	7232	285
481	7246	270
482	7259	255
483	7275	240
484	7290	225
485	7305	210
486	7320	195
487	7335	180
488	7348	165
489	7363	150
490	7377	135
491	7391	120
492	7406	105
493	7420	90
494	7436	75
495	7451	60
496	7466	45
497	7480	30
498	7494	15
499	7508	0
